
=== LR(1) Transition Table (1802 entries) ===
  State 74 --( Negative )--> State 68
  State 75 --( Expr )--> State 1
  State 75 --( Eval )--> State 2
  State 75 --( Term )--> State 3
  State 75 --( Factor )--> State 4
  State 75 --( - )--> State 5
  State 75 --( ( )--> State 6
  State 75 --( integer )--> State 7
  State 75 --( floating )--> State 8
  State 75 --( name )--> State 9
  State 75 --( litstring )--> State 10
  State 75 --( true )--> State 11
  State 75 --( false )--> State 12
  State 75 --( Access )--> State 13
  State 75 --( AccessBase )--> State 14
  State 75 --( init )--> State 18
  State 75 --( Stat )--> State 160
  State 75 --( Declaration )--> State 32
  State 75 --( Assignment )--> State 34
  State 75 --( Identifier )--> State 36
  State 75 --( Relation )--> State 37
  State 75 --( LogAnd )--> State 38
  State 75 --( Negative )--> State 39
  State 81 --( name )--> State 161
  State 81 --( [ )--> State 162
  State 81 --( Identifier )--> State 163
  State 84 --( ( )--> State 164
  State 85 --( || )--> State 40
  State 94 --( Eval )--> State 165
  State 94 --( Term )--> State 3
  State 94 --( Factor )--> State 4
  State 94 --( - )--> State 5
  State 94 --( ( )--> State 46
  State 94 --( integer )--> State 7
  State 94 --( floating )--> State 8
  State 94 --( name )--> State 47
  State 94 --( litstring )--> State 10
  State 94 --( true )--> State 11
  State 94 --( false )--> State 12
  State 94 --( Access )--> State 48
  State 94 --( AccessBase )--> State 49
  State 94 --( Identifier )--> State 50
  State 94 --( Negative )--> State 39
  State 95 --( Eval )--> State 2
  State 95 --( Term )--> State 3
  State 95 --( Factor )--> State 4
  State 95 --( - )--> State 5
  State 95 --( ( )--> State 46
  State 95 --( integer )--> State 7
  State 95 --( floating )--> State 8
  State 95 --( name )--> State 47
  State 95 --( litstring )--> State 10
  State 95 --( true )--> State 11
  State 95 --( false )--> State 12
  State 95 --( Access )--> State 48
  State 95 --( AccessBase )--> State 49
  State 95 --( Identifier )--> State 50
  State 95 --( Relation )--> State 166
  State 95 --( Negative )--> State 39
  State 96 --( && )--> State 95
  State 97 --( * )--> State 43
  State 97 --( / )--> State 44
  State 98 --( * )--> State 43
  State 98 --( / )--> State 44
  State 101 --( ) )--> State 167
  State 101 --( || )--> State 106
  State 102 --( Expr )--> State 118
  State 102 --( Eval )--> State 119
  State 102 --( Term )--> State 120
  State 102 --( Factor )--> State 121
  State 102 --( - )--> State 122
  State 102 --( ( )--> State 123
  State 102 --( integer )--> State 124
  State 102 --( floating )--> State 125
  State 102 --( name )--> State 126
  State 102 --( litstring )--> State 127
  State 102 --( true )--> State 128
  State 102 --( false )--> State 129
  State 102 --( Access )--> State 130
  State 102 --( AccessBase )--> State 131
  State 102 --( Args )--> State 168
  State 102 --( ArgList )--> State 133
  State 102 --( Identifier )--> State 134
  State 102 --( Relation )--> State 135
  State 102 --( LogAnd )--> State 136
  State 102 --( Negative )--> State 137
  State 103 --( Expr )--> State 169
  State 103 --( Eval )--> State 139
  State 103 --( Term )--> State 140
  State 103 --( Factor )--> State 141
  State 103 --( - )--> State 142
  State 103 --( ( )--> State 143
  State 103 --( integer )--> State 144
  State 103 --( floating )--> State 145
  State 103 --( name )--> State 146
  State 103 --( litstring )--> State 147
  State 103 --( true )--> State 148
  State 103 --( false )--> State 149
  State 103 --( Access )--> State 150
  State 103 --( AccessBase )--> State 151
  State 103 --( Identifier )--> State 152
  State 103 --( Relation )--> State 153
  State 103 --( LogAnd )--> State 154
  State 103 --( Negative )--> State 155
  State 104 --( name )--> State 47
  State 104 --( Identifier )--> State 170
  State 106 --( Eval )--> State 52
  State 106 --( Term )--> State 53
  State 106 --( Factor )--> State 54
  State 106 --( - )--> State 55
  State 106 --( ( )--> State 56
  State 106 --( integer )--> State 57
  State 106 --( floating )--> State 58
  State 106 --( name )--> State 59
  State 106 --( litstring )--> State 60
  State 106 --( true )--> State 61
  State 106 --( false )--> State 62
  State 106 --( Access )--> State 63
  State 106 --( AccessBase )--> State 64
  State 106 --( Identifier )--> State 65
  State 106 --( Relation )--> State 66
  State 106 --( LogAnd )--> State 171
  State 106 --( Negative )--> State 68
  State 107 --( Term )--> State 172
  State 107 --( Factor )--> State 54
  State 107 --( - )--> State 55
  State 107 --( ( )--> State 56
  State 107 --( integer )--> State 57
  State 107 --( floating )--> State 58
  State 107 --( name )--> State 59
  State 107 --( litstring )--> State 60
  State 107 --( true )--> State 61
  State 107 --( false )--> State 62
  State 107 --( Access )--> State 63
  State 107 --( AccessBase )--> State 64
  State 107 --( Identifier )--> State 65
  State 107 --( Negative )--> State 68
  State 108 --( Term )--> State 173
  State 108 --( Factor )--> State 54
  State 108 --( - )--> State 55
  State 108 --( ( )--> State 56
  State 108 --( integer )--> State 57
  State 108 --( floating )--> State 58
  State 108 --( name )--> State 59
  State 108 --( litstring )--> State 60
  State 108 --( true )--> State 61
  State 108 --( false )--> State 62
  State 108 --( Access )--> State 63
  State 108 --( AccessBase )--> State 64
  State 108 --( Identifier )--> State 65
  State 108 --( Negative )--> State 68
  State 109 --( Factor )--> State 54
  State 109 --( - )--> State 55
  State 109 --( ( )--> State 56
  State 109 --( integer )--> State 57
  State 109 --( floating )--> State 58
  State 109 --( name )--> State 59
  State 109 --( litstring )--> State 60
  State 109 --( true )--> State 61
  State 109 --( false )--> State 62
  State 109 --( Access )--> State 63
  State 109 --( AccessBase )--> State 64
  State 109 --( Identifier )--> State 65
  State 109 --( Negative )--> State 174
  State 110 --( Factor )--> State 54
  State 110 --( - )--> State 55
  State 110 --( ( )--> State 56
  State 110 --( integer )--> State 57
  State 110 --( floating )--> State 58
  State 110 --( name )--> State 59
  State 110 --( litstring )--> State 60
  State 110 --( true )--> State 61
  State 110 --( false )--> State 62
  State 110 --( Access )--> State 63
  State 110 --( AccessBase )--> State 64
  State 110 --( Identifier )--> State 65
  State 110 --( Negative )--> State 175
  State 112 --( ) )--> State 176
  State 112 --( || )--> State 106
  State 113 --( Expr )--> State 118
  State 113 --( Eval )--> State 119
  State 113 --( Term )--> State 120
  State 113 --( Factor )--> State 121
  State 113 --( - )--> State 122
  State 113 --( ( )--> State 123
  State 113 --( integer )--> State 124
  State 113 --( floating )--> State 125
  State 113 --( name )--> State 126
  State 113 --( litstring )--> State 127
  State 113 --( true )--> State 128
  State 113 --( false )--> State 129
  State 113 --( Access )--> State 130
  State 113 --( AccessBase )--> State 131
  State 113 --( Args )--> State 177
  State 113 --( ArgList )--> State 133
  State 113 --( Identifier )--> State 134
  State 113 --( Relation )--> State 135
  State 113 --( LogAnd )--> State 136
  State 113 --( Negative )--> State 137
  State 114 --( Expr )--> State 178
  State 114 --( Eval )--> State 139
  State 114 --( Term )--> State 140
  State 114 --( Factor )--> State 141
  State 114 --( - )--> State 142
  State 114 --( ( )--> State 143
  State 114 --( integer )--> State 144
  State 114 --( floating )--> State 145
  State 114 --( name )--> State 146
  State 114 --( litstring )--> State 147
  State 114 --( true )--> State 148
  State 114 --( false )--> State 149
  State 114 --( Access )--> State 150
  State 114 --( AccessBase )--> State 151
  State 114 --( Identifier )--> State 152
  State 114 --( Relation )--> State 153
  State 114 --( LogAnd )--> State 154
  State 114 --( Negative )--> State 155
  State 115 --( name )--> State 59
  State 115 --( Identifier )--> State 179
  State 116 --( Eval )--> State 180
  State 116 --( Term )--> State 53
  State 116 --( Factor )--> State 54
  State 116 --( - )--> State 55
  State 116 --( ( )--> State 56
  State 116 --( integer )--> State 57
  State 116 --( floating )--> State 58
  State 116 --( name )--> State 59
  State 116 --( litstring )--> State 60
  State 116 --( true )--> State 61
  State 116 --( false )--> State 62
  State 116 --( Access )--> State 63
  State 116 --( AccessBase )--> State 64
  State 116 --( Identifier )--> State 65
  State 116 --( Negative )--> State 68
  State 117 --( Eval )--> State 52
  State 117 --( Term )--> State 53
  State 117 --( Factor )--> State 54
  State 117 --( - )--> State 55
  State 117 --( ( )--> State 56
  State 117 --( integer )--> State 57
  State 117 --( floating )--> State 58
  State 117 --( name )--> State 59
  State 117 --( litstring )--> State 60
  State 117 --( true )--> State 61
  State 117 --( false )--> State 62
  State 117 --( Access )--> State 63
  State 117 --( AccessBase )--> State 64
  State 117 --( Identifier )--> State 65
  State 117 --( Relation )--> State 181
  State 117 --( Negative )--> State 68
  State 118 --( || )--> State 182
  State 119 --( + )--> State 183
  State 119 --( - )--> State 184
  State 120 --( * )--> State 185
  State 120 --( / )--> State 186
  State 122 --( Factor )--> State 187
  State 122 --( ( )--> State 123
